product_id,brand,technology,resolution,support_HDR,screensize,week_id,sales,RRP,discount,marketing_expense,cost_shifter,,
1,Samsung,OLED,1080p,0,50-59,1,1745,1399,0.12,3794.738516,618.6324444,Samsung,722576
2,Samsung,OLED,4k,1,30-39,1,1444,1099,0.12,3794.738516,571.6034907,LG,617315
3,Samsung,OLED,4k,0,30-39,1,1183,1049,0.18,3794.738516,644.6133243,Sony,684754
4,Samsung,QLED,1080p,1,60+,1,1474,949,0.13,3794.738516,593.3050409,Philips,601751
5,Samsung,OLED,4k,1,50-59,1,1647,1299,0.17,3794.738516,646.643915,,
6,Samsung,QLED,4k,0,40-49,1,1461,999,0.12,3794.738516,605.516929,4k,1456362
7,Samsung,QLED,4k,1,40-49,1,1626,1249,0.07,3794.738516,665.014691,1080p,1170034
8,Samsung,QLED,4k,1,40-49,1,1530,1349,0.15,3794.738516,637.8852888,,
9,Samsung,OLED,1080p,0,60+,1,1706,1349,0.14,3794.738516,594.6436373,,
10,Samsung,LCD,1080p,0,40-49,1,1454,1149,0.2,3794.738516,584.8944662,,
11,LG,QLED,4k,1,40-49,1,892,1299,0.29,1097.852075,655.5274976,,
12,LG,QLED,1080p,0,40-49,1,963,1049,0.1,1097.852075,615.3652658,,
13,LG,LCD,4k,0,50-59,1,805,699,0.21,1097.852075,620.5930314,,
14,LG,QLED,4k,0,60+,1,886,899,0.24,1097.852075,527.030835,,
15,LG,OLED,1080p,1,60+,1,1047,1249,0.17,1097.852075,617.8954282,,
16,LG,LCD,1080p,1,40-49,1,1002,1099,0.21,1097.852075,563.4021832,,
17,LG,OLED,4k,0,30-39,1,1033,1449,0.3,1097.852075,644.1334353,,
18,LG,OLED,4k,1,40-49,1,846,1149,0.22,1097.852075,720.5207996,,
19,LG,LCD,1080p,1,40-49,1,925,1049,0.31,1097.852075,523.454083,,
20,LG,LCD,4k,0,40-49,1,1038,1099,0.12,1097.852075,674.6522973,,
21,Sony,LCD,4k,0,50-59,1,1054,949,0.17,1222.253264,576.327322,,
22,Sony,LCD,4k,0,60+,1,1216,1149,0.22,1222.253264,516.2575531,,
23,Sony,OLED,4k,1,40-49,1,916,799,0.1,1222.253264,593.4513166,,
24,Sony,QLED,1080p,1,50-59,1,1469,1349,0.14,1222.253264,640.1334939,,
25,Sony,OLED,4k,1,40-49,1,1281,1349,0.25,1222.253264,559.8809757,,
26,Sony,QLED,4k,1,50-59,1,1154,1049,0.31,1222.253264,587.2356358,,
27,Sony,LCD,4k,0,60+,1,1240,1349,0.15,1222.253264,676.2803884,,
28,Sony,QLED,4k,0,30-39,1,757,849,0.27,1222.253264,652.6473237,,
29,Sony,OLED,1080p,1,50-59,1,1260,1399,0.26,1222.253264,618.0309184,,
30,Sony,QLED,1080p,1,50-59,1,1229,999,0.17,1222.253264,532.2946929,,
31,Philips,LCD,4k,1,50-59,1,760,549,0.08,1229.011653,553.7915698,,
32,Philips,OLED,1080p,0,30-39,1,837,1199,0.19,1229.011653,649.5935247,,
33,Philips,OLED,1080p,1,50-59,1,991,1199,0.28,1229.011653,565.2776465,,
34,Philips,LCD,1080p,0,50-59,1,799,649,0.24,1229.011653,453.5909109,,
